year,domain,category,state,factor,n
2010,economic,spend >30% on housing,Montana,count,67000
2011,economic,spend >30% on housing,Montana,count,70000
2012,economic,spend >30% on housing,Montana,count,68000
2008,economic,spend >30% on housing,Montana,pct,28
2009,economic,spend >30% on housing,Montana,pct,30
2010,economic,spend >30% on housing,Montana,pct,30
2011,economic,spend >30% on housing,Montana,pct,32
2012,economic,spend >30% on housing,Montana,pct,31
2008,economic,spend >30% on housing,Montana,rank,7
2009,economic,spend >30% on housing,Montana,rank,9
2010,economic,spend >30% on housing,Montana,rank,7
2011,economic,spend >30% on housing,Montana,rank,11
2012,economic,spend >30% on housing,Montana,rank,13
2008,economic,children in poverty,Montana,count,45000
2009,economic,children in poverty,Montana,count,46000
2010,economic,children in poverty,Montana,count,44000
2011,economic,children in poverty,Montana,count,43000
2012,economic,children in poverty,Montana,count,44000
2008,economic,children in poverty,Montana,pct,21
2009,economic,children in poverty,Montana,pct,21
2010,economic,children in poverty,Montana,pct,20
2011,economic,children in poverty,Montana,pct,20
2012,economic,children in poverty,Montana,pct,20
2008,economic,children in poverty,Montana,rank,38
2009,economic,children in poverty,Montana,rank,32
2010,economic,children in poverty,Montana,rank,27
2011,economic,children in poverty,Montana,rank,23
2012,economic,children in poverty,Montana,rank,23
2008,economic,parents without full-time employment,Montana,count,65000
2009,economic,parents without full-time employment,Montana,count,74000
2010,economic,parents without full-time employment,Montana,count,70000
2011,economic,parents without full-time employment,Montana,count,67000
2012,economic,parents without full-time employment,Montana,count,67000
2008,economic,parents without full-time employment,Montana,pct,29
2009,economic,parents without full-time employment,Montana,pct,33
2010,economic,parents without full-time employment,Montana,pct,31
2011,economic,parents without full-time employment,Montana,pct,30
2012,economic,parents without full-time employment,Montana,pct,30
2008,economic,parents without full-time employment,Montana,rank,33
2009,economic,parents without full-time employment,Montana,rank,35
2010,economic,parents without full-time employment,Montana,rank,19
2011,economic,parents without full-time employment,Montana,rank,17
2012,economic,parents without full-time employment,Montana,rank,20
2008,economic,teens not attending school,Montana,count,6000
2009,economic,teens not attending school,Montana,count,7000
2010,economic,teens not attending school,Montana,count,5000
2011,economic,teens not attending school,Montana,count,3000
2012,economic,teens not attending school,Montana,count,5000
2008,economic,teens not attending school,Montana,pct,10
2009,economic,teens not attending school,Montana,pct,11
2010,economic,teens not attending school,Montana,pct,9
2011,economic,teens not attending school,Montana,pct,7
2012,economic,teens not attending school,Montana,pct,10
2008,economic,teens not attending school,Montana,rank,39
2009,economic,teens not attending school,Montana,rank,40
2010,economic,teens not attending school,Montana,rank,25
2011,economic,teens not attending school,Montana,rank,12
2012,economic,teens not attending school,Montana,rank,39
2008,economic,spend >30% on housing,Nebraska,count,111000
2009,economic,spend >30% on housing,Nebraska,count,114000
2010,economic,spend >30% on housing,Nebraska,count,127000
2011,economic,spend >30% on housing,Nebraska,count,122000
2012,economic,spend >30% on housing,Nebraska,count,122000
2008,economic,spend >30% on housing,Nebraska,pct,25
2009,economic,spend >30% on housing,Nebraska,pct,25
2010,economic,spend >30% on housing,Nebraska,pct,28
2011,economic,spend >30% on housing,Nebraska,pct,26
2012,economic,spend >30% on housing,Nebraska,pct,26
2008,economic,spend >30% on housing,Nebraska,rank,3
2009,economic,spend >30% on housing,Nebraska,rank,4
2010,economic,spend >30% on housing,Nebraska,rank,6
2011,economic,spend >30% on housing,Nebraska,rank,3
2012,economic,spend >30% on housing,Nebraska,rank,5
2008,economic,children in poverty,Nebraska,count,58000
2009,economic,children in poverty,Nebraska,count,66000
2010,economic,children in poverty,Nebraska,count,82000
2011,economic,children in poverty,Nebraska,count,82000
2012,economic,children in poverty,Nebraska,count,81000
2008,economic,children in poverty,Nebraska,pct,13
2009,economic,children in poverty,Nebraska,pct,15
2010,economic,children in poverty,Nebraska,pct,18
2011,economic,children in poverty,Nebraska,pct,18
2012,economic,children in poverty,Nebraska,pct,18
2008,economic,children in poverty,Nebraska,rank,10
2009,economic,children in poverty,Nebraska,rank,14
2010,economic,children in poverty,Nebraska,rank,16
2011,economic,children in poverty,Nebraska,rank,16
2012,economic,children in poverty,Nebraska,rank,17
2008,economic,parents without full-time employment,Nebraska,count,84000
2009,economic,parents without full-time employment,Nebraska,count,101000
2010,economic,parents without full-time employment,Nebraska,count,112000
2011,economic,parents without full-time employment,Nebraska,count,111000
2012,economic,parents without full-time employment,Nebraska,count,104000
2008,economic,parents without full-time employment,Nebraska,pct,19
2009,economic,parents without full-time employment,Nebraska,pct,22
2010,economic,parents without full-time employment,Nebraska,pct,24
2011,economic,parents without full-time employment,Nebraska,pct,24
2012,economic,parents without full-time employment,Nebraska,pct,22
2008,economic,parents without full-time employment,Nebraska,rank,1
2009,economic,parents without full-time employment,Nebraska,rank,2
2010,economic,parents without full-time employment,Nebraska,rank,4
2011,economic,parents without full-time employment,Nebraska,rank,3
2012,economic,parents without full-time employment,Nebraska,rank,2
2008,economic,teens not attending school,Nebraska,count,4000
2009,economic,teens not attending school,Nebraska,count,6000
2010,economic,teens not attending school,Nebraska,count,4000
2011,economic,teens not attending school,Nebraska,count,5000
2012,economic,teens not attending school,Nebraska,count,6000
2008,economic,teens not attending school,Nebraska,pct,4
2009,economic,teens not attending school,Nebraska,pct,6
2010,economic,teens not attending school,Nebraska,pct,4
2011,economic,teens not attending school,Nebraska,pct,5
2012,economic,teens not attending school,Nebraska,pct,6
2008,economic,teens not attending school,Nebraska,rank,1
2009,economic,teens not attending school,Nebraska,rank,2
2010,economic,teens not attending school,Nebraska,rank,1
2011,economic,teens not attending school,Nebraska,rank,2
2012,economic,teens not attending school,Nebraska,rank,8
2008,economic,spend >30% on housing,Nevada,count,326000
2009,economic,spend >30% on housing,Nevada,count,327000
2010,economic,spend >30% on housing,Nevada,count,311000
2011,economic,spend >30% on housing,Nevada,count,294000
2012,economic,spend >30% on housing,Nevada,count,296000
2008,economic,spend >30% on housing,Nevada,pct,49
2009,economic,spend >30% on housing,Nevada,pct,48
2010,economic,spend >30% on housing,Nevada,pct,47
2011,economic,spend >30% on housing,Nevada,pct,44
2012,economic,spend >30% on housing,Nevada,pct,45
2008,economic,spend >30% on housing,Nevada,rank,48
2009,economic,spend >30% on housing,Nevada,rank,46
2010,economic,spend >30% on housing,Nevada,rank,47
2011,economic,spend >30% on housing,Nevada,rank,43
2012,economic,spend >30% on housing,Nevada,rank,45
2008,economic,children in poverty,Nevada,count,99000
2009,economic,children in poverty,Nevada,count,118000
2010,economic,children in poverty,Nevada,count,144000
2011,economic,children in poverty,Nevada,count,144000
2012,economic,children in poverty,Nevada,count,157000
2008,economic,children in poverty,Nevada,pct,15
2009,economic,children in poverty,Nevada,pct,18
2010,economic,children in poverty,Nevada,pct,22
2011,economic,children in poverty,Nevada,pct,22
2012,economic,children in poverty,Nevada,pct,24
2008,economic,children in poverty,Nevada,rank,18
2009,economic,children in poverty,Nevada,rank,23
2010,economic,children in poverty,Nevada,rank,30
2011,economic,children in poverty,Nevada,rank,26
2012,economic,children in poverty,Nevada,rank,32
2008,economic,parents without full-time employment,Nevada,count,173000
2009,economic,parents without full-time employment,Nevada,count,231000
2010,economic,parents without full-time employment,Nevada,count,239000
2011,economic,parents without full-time employment,Nevada,count,224000
2012,economic,parents without full-time employment,Nevada,count,226000
2008,economic,parents without full-time employment,Nevada,pct,26
2009,economic,parents without full-time employment,Nevada,pct,34
2010,economic,parents without full-time employment,Nevada,pct,36
2011,economic,parents without full-time employment,Nevada,pct,34
2012,economic,parents without full-time employment,Nevada,pct,34
2008,economic,parents without full-time employment,Nevada,rank,17
2009,economic,parents without full-time employment,Nevada,rank,38
2010,economic,parents without full-time employment,Nevada,rank,38
2011,economic,parents without full-time employment,Nevada,rank,33
2012,economic,parents without full-time employment,Nevada,rank,37
2008,economic,teens not attending school,Nevada,count,15000
2009,economic,teens not attending school,Nevada,count,18000
2010,economic,teens not attending school,Nevada,count,22000
2011,economic,teens not attending school,Nevada,count,18000
2012,economic,teens not attending school,Nevada,count,14000
2008,economic,teens not attending school,Nevada,pct,11
2009,economic,teens not attending school,Nevada,pct,13
2010,economic,teens not attending school,Nevada,pct,15
2011,economic,teens not attending school,Nevada,pct,13
2012,economic,teens not attending school,Nevada,pct,10
2008,economic,teens not attending school,Nevada,rank,45
2009,economic,teens not attending school,Nevada,rank,49
2010,economic,teens not attending school,Nevada,rank,50
2011,economic,teens not attending school,Nevada,rank,50
2012,economic,teens not attending school,Nevada,rank,39
2008,economic,spend >30% on housing,New Hampshire,count,111000
2009,economic,spend >30% on housing,New Hampshire,count,120000
2010,economic,spend >30% on housing,New Hampshire,count,111000
2011,economic,spend >30% on housing,New Hampshire,count,110000
2012,economic,spend >30% on housing,New Hampshire,count,106000
2008,economic,spend >30% on housing,New Hampshire,pct,38
2009,economic,spend >30% on housing,New Hampshire,pct,41
2010,economic,spend >30% on housing,New Hampshire,pct,39
2011,economic,spend >30% on housing,New Hampshire,pct,39
2012,economic,spend >30% on housing,New Hampshire,pct,39
2008,economic,spend >30% on housing,New Hampshire,rank,31
2009,economic,spend >30% on housing,New Hampshire,rank,36
2010,economic,spend >30% on housing,New Hampshire,rank,31
2011,economic,spend >30% on housing,New Hampshire,rank,35
2012,economic,spend >30% on housing,New Hampshire,rank,40
2008,economic,children in poverty,New Hampshire,count,26000
2009,economic,children in poverty,New Hampshire,count,31000
2010,economic,children in poverty,New Hampshire,count,28000
2011,economic,children in poverty,New Hampshire,count,33000
2012,economic,children in poverty,New Hampshire,count,42000
2008,economic,children in poverty,New Hampshire,pct,9
2009,economic,children in poverty,New Hampshire,pct,11
2010,economic,children in poverty,New Hampshire,pct,10
2011,economic,children in poverty,New Hampshire,pct,12
2012,economic,children in poverty,New Hampshire,pct,16
2008,economic,children in poverty,New Hampshire,rank,1
2009,economic,children in poverty,New Hampshire,rank,1
2010,economic,children in poverty,New Hampshire,rank,1
2011,economic,children in poverty,New Hampshire,rank,1
2012,economic,children in poverty,New Hampshire,rank,11
2008,economic,parents without full-time employment,New Hampshire,count,61000
2009,economic,parents without full-time employment,New Hampshire,count,69000
2010,economic,parents without full-time employment,New Hampshire,count,70000
2011,economic,parents without full-time employment,New Hampshire,count,65000
2012,economic,parents without full-time employment,New Hampshire,count,72000
2008,economic,parents without full-time employment,New Hampshire,pct,21
2009,economic,parents without full-time employment,New Hampshire,pct,24
2010,economic,parents without full-time employment,New Hampshire,pct,25
2011,economic,parents without full-time employment,New Hampshire,pct,23
2012,economic,parents without full-time employment,New Hampshire,pct,26
2008,economic,parents without full-time employment,New Hampshire,rank,4
2009,economic,parents without full-time employment,New Hampshire,rank,5
2010,economic,parents without full-time employment,New Hampshire,rank,6
2011,economic,parents without full-time employment,New Hampshire,rank,2
2012,economic,parents without full-time employment,New Hampshire,rank,10
2008,economic,teens not attending school,New Hampshire,count,3000
2009,economic,teens not attending school,New Hampshire,count,4000
2010,economic,teens not attending school,New Hampshire,count,4000
2011,economic,teens not attending school,New Hampshire,count,4000
2012,economic,teens not attending school,New Hampshire,count,4000
2008,economic,teens not attending school,New Hampshire,pct,4
2009,economic,teens not attending school,New Hampshire,pct,5
2010,economic,teens not attending school,New Hampshire,pct,6
2011,economic,teens not attending school,New Hampshire,pct,6
2012,economic,teens not attending school,New Hampshire,pct,6
2008,economic,teens not attending school,New Hampshire,rank,1
2009,economic,teens not attending school,New Hampshire,rank,1
2010,economic,teens not attending school,New Hampshire,rank,8
2011,economic,teens not attending school,New Hampshire,rank,6
2012,economic,teens not attending school,New Hampshire,rank,8
2008,economic,spend >30% on housing,New Jersey,count,967000
2009,economic,spend >30% on housing,New Jersey,count,982000
2010,economic,spend >30% on housing,New Jersey,count,994000
2011,economic,spend >30% on housing,New Jersey,count,990000
2012,economic,spend >30% on housing,New Jersey,count,920000
2008,economic,spend >30% on housing,New Jersey,pct,47
2009,economic,spend >30% on housing,New Jersey,pct,48
2010,economic,spend >30% on housing,New Jersey,pct,48
2011,economic,spend >30% on housing,New Jersey,pct,48
2012,economic,spend >30% on housing,New Jersey,pct,45
2008,economic,spend >30% on housing,New Jersey,rank,46
2009,economic,spend >30% on housing,New Jersey,rank,46
2010,economic,spend >30% on housing,New Jersey,rank,48
2011,economic,spend >30% on housing,New Jersey,rank,48
2012,economic,spend >30% on housing,New Jersey,rank,45
2008,economic,children in poverty,New Jersey,count,253000
2009,economic,children in poverty,New Jersey,count,273000
2010,economic,children in poverty,New Jersey,count,295000
2011,economic,children in poverty,New Jersey,count,296000
2012,economic,children in poverty,New Jersey,count,310000
2008,economic,children in poverty,New Jersey,pct,13
2009,economic,children in poverty,New Jersey,pct,13
2010,economic,children in poverty,New Jersey,pct,14
2011,economic,children in poverty,New Jersey,pct,15
2012,economic,children in poverty,New Jersey,pct,15
2008,economic,children in poverty,New Jersey,rank,10
2009,economic,children in poverty,New Jersey,rank,5
2010,economic,children in poverty,New Jersey,rank,5
2011,economic,children in poverty,New Jersey,rank,3
2012,economic,children in poverty,New Jersey,rank,4
2008,economic,parents without full-time employment,New Jersey,count,474000
2009,economic,parents without full-time employment,New Jersey,count,518000
2010,economic,parents without full-time employment,New Jersey,count,567000
2011,economic,parents without full-time employment,New Jersey,count,556000
2012,economic,parents without full-time employment,New Jersey,count,534000
2008,economic,parents without full-time employment,New Jersey,pct,23
2009,economic,parents without full-time employment,New Jersey,pct,25
2010,economic,parents without full-time employment,New Jersey,pct,27
2011,economic,parents without full-time employment,New Jersey,pct,27
2012,economic,parents without full-time employment,New Jersey,pct,26
2008,economic,parents without full-time employment,New Jersey,rank,10
2009,economic,parents without full-time employment,New Jersey,rank,8
2010,economic,parents without full-time employment,New Jersey,rank,10
2011,economic,parents without full-time employment,New Jersey,rank,11
2012,economic,parents without full-time employment,New Jersey,rank,10
2008,economic,teens not attending school,New Jersey,count,31000
2009,economic,teens not attending school,New Jersey,count,30000
2010,economic,teens not attending school,New Jersey,count,36000
2011,economic,teens not attending school,New Jersey,count,31000
2012,economic,teens not attending school,New Jersey,count,29000
2008,economic,teens not attending school,New Jersey,pct,7
2009,economic,teens not attending school,New Jersey,pct,7
2010,economic,teens not attending school,New Jersey,pct,8
2011,economic,teens not attending school,New Jersey,pct,7
2012,economic,teens not attending school,New Jersey,pct,6
2008,economic,teens not attending school,New Jersey,rank,14
2009,economic,teens not attending school,New Jersey,rank,8
2010,economic,teens not attending school,New Jersey,rank,16
2011,economic,teens not attending school,New Jersey,rank,12
2012,economic,teens not attending school,New Jersey,rank,8
2008,economic,spend >30% on housing,New Mexico,count,156000
2009,economic,spend >30% on housing,New Mexico,count,166000
2010,economic,spend >30% on housing,New Mexico,count,170000
2011,economic,spend >30% on housing,New Mexico,count,188000
2012,economic,spend >30% on housing,New Mexico,count,168000
2008,economic,spend >30% on housing,New Mexico,pct,31
2009,economic,spend >30% on housing,New Mexico,pct,32
2010,economic,spend >30% on housing,New Mexico,pct,33
2011,economic,spend >30% on housing,New Mexico,pct,36
2012,economic,spend >30% on housing,New Mexico,pct,33
2008,economic,spend >30% on housing,New Mexico,rank,13
2009,economic,spend >30% on housing,New Mexico,rank,13
2010,economic,spend >30% on housing,New Mexico,rank,15
2011,economic,spend >30% on housing,New Mexico,rank,23
2012,economic,spend >30% on housing,New Mexico,rank,21
2008,economic,children in poverty,New Mexico,count,119000
2009,economic,children in poverty,New Mexico,count,128000
2010,economic,children in poverty,New Mexico,count,154000
2011,economic,children in poverty,New Mexico,count,157000
2012,economic,children in poverty,New Mexico,count,149000
2008,economic,children in poverty,New Mexico,pct,24
2009,economic,children in poverty,New Mexico,pct,25
2010,economic,children in poverty,New Mexico,pct,30
2011,economic,children in poverty,New Mexico,pct,31
2012,economic,children in poverty,New Mexico,pct,29
2008,economic,children in poverty,New Mexico,rank,47
2009,economic,children in poverty,New Mexico,rank,46
2010,economic,children in poverty,New Mexico,rank,49
2011,economic,children in poverty,New Mexico,rank,49
2012,economic,children in poverty,New Mexico,rank,48
2008,economic,parents without full-time employment,New Mexico,count,149000
2009,economic,parents without full-time employment,New Mexico,count,165000
2010,economic,parents without full-time employment,New Mexico,count,190000
2011,economic,parents without full-time employment,New Mexico,count,192000
2012,economic,parents without full-time employment,New Mexico,count,185000
2008,economic,parents without full-time employment,New Mexico,pct,30
2009,economic,parents without full-time employment,New Mexico,pct,32
2010,economic,parents without full-time employment,New Mexico,pct,37
2011,economic,parents without full-time employment,New Mexico,pct,37
2012,economic,parents without full-time employment,New Mexico,pct,36
2008,economic,parents without full-time employment,New Mexico,rank,38
2009,economic,parents without full-time employment,New Mexico,rank,30
2010,economic,parents without full-time employment,New Mexico,rank,43
2011,economic,parents without full-time employment,New Mexico,rank,47
2012,economic,parents without full-time employment,New Mexico,rank,46
2008,economic,teens not attending school,New Mexico,count,12000
2009,economic,teens not attending school,New Mexico,count,14000
2010,economic,teens not attending school,New Mexico,count,15000
2011,economic,teens not attending school,New Mexico,count,13000
2012,economic,teens not attending school,New Mexico,count,15000
2008,economic,teens not attending school,New Mexico,pct,10
2009,economic,teens not attending school,New Mexico,pct,11
2010,economic,teens not attending school,New Mexico,pct,12
2011,economic,teens not attending school,New Mexico,pct,11
2012,economic,teens not attending school,New Mexico,pct,12
2008,economic,teens not attending school,New Mexico,rank,39
2009,economic,teens not attending school,New Mexico,rank,40
2010,economic,teens not attending school,New Mexico,rank,42
2011,economic,teens not attending school,New Mexico,rank,42
2012,economic,teens not attending school,New Mexico,rank,49
2008,economic,spend >30% on housing,New York,count,1997000
2009,economic,spend >30% on housing,New York,count,2006000
2010,economic,spend >30% on housing,New York,count,1957000
2011,economic,spend >30% on housing,New York,count,1985000
2012,economic,spend >30% on housing,New York,count,1923000
2008,economic,spend >30% on housing,New York,pct,45
2009,economic,spend >30% on housing,New York,pct,45
2010,economic,spend >30% on housing,New York,pct,45
2011,economic,spend >30% on housing,New York,pct,46
2012,economic,spend >30% on housing,New York,pct,45
2008,economic,spend >30% on housing,New York,rank,44
2009,economic,spend >30% on housing,New York,rank,44
2010,economic,spend >30% on housing,New York,rank,43
2011,economic,spend >30% on housing,New York,rank,46
2012,economic,spend >30% on housing,New York,rank,45
2008,economic,children in poverty,New York,count,829000
2009,economic,children in poverty,New York,count,868000
2010,economic,children in poverty,New York,count,901000
2011,economic,children in poverty,New York,count,951000
2012,economic,children in poverty,New York,count,959000
2008,economic,children in poverty,New York,pct,19
2009,economic,children in poverty,New York,pct,20
2010,economic,children in poverty,New York,pct,21
2011,economic,children in poverty,New York,pct,23
2012,economic,children in poverty,New York,pct,23
2008,economic,children in poverty,New York,rank,32
2009,economic,children in poverty,New York,rank,29
2010,economic,children in poverty,New York,rank,28
2011,economic,children in poverty,New York,rank,30
2012,economic,children in poverty,New York,rank,29
2008,economic,parents without full-time employment,New York,count,1227000
2009,economic,parents without full-time employment,New York,count,1340000
2010,economic,parents without full-time employment,New York,count,1358000
2011,economic,parents without full-time employment,New York,count,1361000
2012,economic,parents without full-time employment,New York,count,1353000
2008,economic,parents without full-time employment,New York,pct,28
2009,economic,parents without full-time employment,New York,pct,30
2010,economic,parents without full-time employment,New York,pct,31
2011,economic,parents without full-time employment,New York,pct,32
2012,economic,parents without full-time employment,New York,pct,32
2008,economic,parents without full-time employment,New York,rank,26
2009,economic,parents without full-time employment,New York,rank,22
2010,economic,parents without full-time employment,New York,rank,19
2011,economic,parents without full-time employment,New York,rank,25
2012,economic,parents without full-time employment,New York,rank,28
2008,economic,teens not attending school,New York,count,85000
2009,economic,teens not attending school,New York,count,93000
2010,economic,teens not attending school,New York,count,94000
2011,economic,teens not attending school,New York,count,89000
2012,economic,teens not attending school,New York,count,83000
2008,economic,teens not attending school,New York,pct,7
2009,economic,teens not attending school,New York,pct,8
2010,economic,teens not attending school,New York,pct,8
2011,economic,teens not attending school,New York,pct,8
2012,economic,teens not attending school,New York,pct,8
2008,economic,teens not attending school,New York,rank,14
2009,economic,teens not attending school,New York,rank,16
2010,economic,teens not attending school,New York,rank,16
2011,economic,teens not attending school,New York,rank,20
2012,economic,teens not attending school,New York,rank,19
2008,economic,spend >30% on housing,North Carolina,count,730000
2009,economic,spend >30% on housing,North Carolina,count,790000
2010,economic,spend >30% on housing,North Carolina,count,859000
2011,economic,spend >30% on housing,North Carolina,count,841000
2012,economic,spend >30% on housing,North Carolina,count,781000
2008,economic,spend >30% on housing,North Carolina,pct,33
2009,economic,spend >30% on housing,North Carolina,pct,35
2010,economic,spend >30% on housing,North Carolina,pct,38
2011,economic,spend >30% on housing,North Carolina,pct,37
2012,economic,spend >30% on housing,North Carolina,pct,34
2008,economic,spend >30% on housing,North Carolina,rank,20
2009,economic,spend >30% on housing,North Carolina,rank,22
2010,economic,spend >30% on housing,North Carolina,rank,30
2011,economic,spend >30% on housing,North Carolina,rank,27
2012,economic,spend >30% on housing,North Carolina,rank,23
2008,economic,children in poverty,North Carolina,count,440000
2009,economic,children in poverty,North Carolina,count,505000
2010,economic,children in poverty,North Carolina,count,560000
2011,economic,children in poverty,North Carolina,count,580000
2012,economic,children in poverty,North Carolina,count,586000
2008,economic,children in poverty,North Carolina,pct,20
2009,economic,children in poverty,North Carolina,pct,23
2010,economic,children in poverty,North Carolina,pct,25
2011,economic,children in poverty,North Carolina,pct,26
2012,economic,children in poverty,North Carolina,pct,26
2008,economic,children in poverty,North Carolina,rank,36
2009,economic,children in poverty,North Carolina,rank,38
2010,economic,children in poverty,North Carolina,rank,38
2011,economic,children in poverty,North Carolina,rank,38
2012,economic,children in poverty,North Carolina,rank,39
2008,economic,parents without full-time employment,North Carolina,count,632000
2009,economic,parents without full-time employment,North Carolina,count,753000
2010,economic,parents without full-time employment,North Carolina,count,793000
2011,economic,parents without full-time employment,North Carolina,count,782000
2012,economic,parents without full-time employment,North Carolina,count,751000
2008,economic,parents without full-time employment,North Carolina,pct,28
2009,economic,parents without full-time employment,North Carolina,pct,33
2010,economic,parents without full-time employment,North Carolina,pct,35
2011,economic,parents without full-time employment,North Carolina,pct,34
2012,economic,parents without full-time employment,North Carolina,pct,33
2008,economic,parents without full-time employment,North Carolina,rank,26
2009,economic,parents without full-time employment,North Carolina,rank,35
2010,economic,parents without full-time employment,North Carolina,rank,35
2011,economic,parents without full-time employment,North Carolina,rank,33
2012,economic,parents without full-time employment,North Carolina,rank,31
2008,economic,teens not attending school,North Carolina,count,44000
2009,economic,teens not attending school,North Carolina,count,53000
2010,economic,teens not attending school,North Carolina,count,52000
2011,economic,teens not attending school,North Carolina,count,52000
2012,economic,teens not attending school,North Carolina,count,50000
2008,economic,teens not attending school,North Carolina,pct,8
2009,economic,teens not attending school,North Carolina,pct,10
2010,economic,teens not attending school,North Carolina,pct,10
2011,economic,teens not attending school,North Carolina,pct,10
2012,economic,teens not attending school,North Carolina,pct,9
2008,economic,teens not attending school,North Carolina,rank,21
2009,economic,teens not attending school,North Carolina,rank,33
2010,economic,teens not attending school,North Carolina,rank,34
2011,economic,teens not attending school,North Carolina,rank,38
2012,economic,teens not attending school,North Carolina,rank,30
2008,economic,spend >30% on housing,North Dakota,count,32000
2009,economic,spend >30% on housing,North Dakota,count,25000
2010,economic,spend >30% on housing,North Dakota,count,28000
2011,economic,spend >30% on housing,North Dakota,count,31000
2012,economic,spend >30% on housing,North Dakota,count,25000
2008,economic,spend >30% on housing,North Dakota,pct,23
2009,economic,spend >30% on housing,North Dakota,pct,18
2010,economic,spend >30% on housing,North Dakota,pct,19
2011,economic,spend >30% on housing,North Dakota,pct,21
2012,economic,spend >30% on housing,North Dakota,pct,16
2008,economic,spend >30% on housing,North Dakota,rank,1
2009,economic,spend >30% on housing,North Dakota,rank,1
2010,economic,spend >30% on housing,North Dakota,rank,1
2011,economic,spend >30% on housing,North Dakota,rank,1
2012,economic,spend >30% on housing,North Dakota,rank,1
2008,economic,children in poverty,North Dakota,count,21000
2009,economic,children in poverty,North Dakota,count,18000
2010,economic,children in poverty,North Dakota,count,24000
2011,economic,children in poverty,North Dakota,count,22000
2012,economic,children in poverty,North Dakota,count,20000
2008,economic,children in poverty,North Dakota,pct,15
2009,economic,children in poverty,North Dakota,pct,13
2010,economic,children in poverty,North Dakota,pct,16
2011,economic,children in poverty,North Dakota,pct,15
2012,economic,children in poverty,North Dakota,pct,13
2008,economic,children in poverty,North Dakota,rank,18
2009,economic,children in poverty,North Dakota,rank,5
2010,economic,children in poverty,North Dakota,rank,11
2011,economic,children in poverty,North Dakota,rank,3
2012,economic,children in poverty,North Dakota,rank,1
2008,economic,parents without full-time employment,North Dakota,count,28000
2009,economic,parents without full-time employment,North Dakota,count,29000
2010,economic,parents without full-time employment,North Dakota,count,33000
2011,economic,parents without full-time employment,North Dakota,count,33000
2012,economic,parents without full-time employment,North Dakota,count,30000
2008,economic,parents without full-time employment,North Dakota,pct,20
2009,economic,parents without full-time employment,North Dakota,pct,21
2010,economic,parents without full-time employment,North Dakota,pct,22
2011,economic,parents without full-time employment,North Dakota,pct,22
2012,economic,parents without full-time employment,North Dakota,pct,19
2008,economic,parents without full-time employment,North Dakota,rank,3
2009,economic,parents without full-time employment,North Dakota,rank,1
2010,economic,parents without full-time employment,North Dakota,rank,1
2011,economic,parents without full-time employment,North Dakota,rank,1
2012,economic,parents without full-time employment,North Dakota,rank,1
2008,economic,teens not attending school,North Dakota,count,3000
2009,economic,teens not attending school,North Dakota,count,3000
2010,economic,teens not attending school,North Dakota,count,2000
2011,economic,teens not attending school,North Dakota,count,3000
2012,economic,teens not attending school,North Dakota,count,2000
2008,economic,teens not attending school,North Dakota,pct,6
2009,economic,teens not attending school,North Dakota,pct,7
2010,economic,teens not attending school,North Dakota,pct,5
2011,economic,teens not attending school,North Dakota,pct,7
2012,economic,teens not attending school,North Dakota,pct,5
2008,economic,teens not attending school,North Dakota,rank,8
2009,economic,teens not attending school,North Dakota,rank,8
2010,economic,teens not attending school,North Dakota,rank,3
2011,economic,teens not attending school,North Dakota,rank,12
2012,economic,teens not attending school,North Dakota,rank,3
2008,economic,spend >30% on housing,Ohio,count,889000
2009,economic,spend >30% on housing,Ohio,count,937000
2010,economic,spend >30% on housing,Ohio,count,969000
2011,economic,spend >30% on housing,Ohio,count,939000
2012,economic,spend >30% on housing,Ohio,count,825000
2008,economic,spend >30% on housing,Ohio,pct,33
2009,economic,spend >30% on housing,Ohio,pct,35
2010,economic,spend >30% on housing,Ohio,pct,36
2011,economic,spend >30% on housing,Ohio,pct,35
2012,economic,spend >30% on housing,Ohio,pct,31
2008,economic,spend >30% on housing,Ohio,rank,20
2009,economic,spend >30% on housing,Ohio,rank,22
2010,economic,spend >30% on housing,Ohio,rank,23
2011,economic,spend >30% on housing,Ohio,rank,18
2012,economic,spend >30% on housing,Ohio,rank,13
2008,economic,children in poverty,Ohio,count,498000
2009,economic,children in poverty,Ohio,count,584000
2010,economic,children in poverty,Ohio,count,624000
2011,economic,children in poverty,Ohio,count,641000
2012,economic,children in poverty,Ohio,count,621000
2008,economic,children in poverty,Ohio,pct,19
2009,economic,children in poverty,Ohio,pct,22
2010,economic,children in poverty,Ohio,pct,23
2011,economic,children in poverty,Ohio,pct,24
2012,economic,children in poverty,Ohio,pct,24
2008,economic,children in poverty,Ohio,rank,32
2009,economic,children in poverty,Ohio,rank,35
2010,economic,children in poverty,Ohio,rank,34
2011,economic,children in poverty,Ohio,rank,34
2012,economic,children in poverty,Ohio,rank,32
2008,economic,parents without full-time employment,Ohio,count,763000
2009,economic,parents without full-time employment,Ohio,count,872000
2010,economic,parents without full-time employment,Ohio,count,918000
2011,economic,parents without full-time employment,Ohio,count,889000
2012,economic,parents without full-time employment,Ohio,count,856000
2008,economic,parents without full-time employment,Ohio,pct,28
2009,economic,parents without full-time employment,Ohio,pct,32
2010,economic,parents without full-time employment,Ohio,pct,34
2011,economic,parents without full-time employment,Ohio,pct,33
2012,economic,parents without full-time employment,Ohio,pct,32
